,TAMANHO_TEXTO
0,1229
1,582
2,1389
3,2300
4,1348
5,1573
6,1311
7,540
8,686
9,841
10,2644
11,733
12,1454
13,855
14,515
15,3255
16,2470
17,871
18,249
19,2119
20,863
21,697
22,3329
23,2030
24,674
25,294
26,622
27,881
28,3913
29,1748
30,381
31,2133
32,2746
33,1514
34,1546
35,888
36,1133
37,165
38,518
39,1368
40,645
41,1185
42,1244
43,445
44,4572
45,890
46,725
47,1422
48,711
49,1165
50,1325
51,634
52,768
53,1761
54,112
55,1962
56,996
57,486
58,2529
59,1551
60,578
61,583
62,661
63,1338
64,177
65,968
66,2379
67,238
68,1029
69,663
70,944
71,4394
72,3367
73,1537
74,1341
75,1447
76,877
77,693
78,466
79,1940
80,604
81,1285
82,899
83,601
84,571
85,836
86,438
87,1202
88,2559
89,739
90,619
91,1013
92,1234
93,556
94,1172
95,368
96,1923
97,382
98,2149
99,1067
100,1022
101,191
102,1161
103,1261
104,680
105,953
106,288
107,1869
108,1123
109,1019
110,1546
111,555
112,1277
113,348
114,1181
115,693
116,633
117,550
118,291
119,1620
120,659
121,659
122,112
123,876
124,1963
125,1731
126,714
127,1057
128,2376
129,600
130,381
131,2906
132,1632
133,214
134,631
135,406
136,1166
137,2188
138,351
139,277
140,1149
141,1020
142,331
143,228
144,1567
145,825
146,1523
147,1068
148,420
149,2095
150,1022
151,307
152,163
153,2415
154,2986
155,692
156,2118
157,942
158,1170
159,1013
160,1444
161,441
162,1457
163,1156
164,1243
165,706
166,1435
167,738
168,1704
169,618
170,1875
171,504
172,467
173,143
174,791
175,887
176,1076
177,1012
178,474
179,659
180,407
181,1909
182,546
183,333
184,988
185,401
186,346
187,406
188,1246
189,738
190,1115
191,3076
192,882
193,405
194,534
195,7236
196,2107
197,2216
198,245
199,1115
200,1360
201,473
202,1308
203,3054
204,1377
205,614
206,431
207,336
208,1888
209,280
210,652
211,1352
212,1385
213,3808
214,877
215,408
216,550
217,431
218,1158
219,683
220,426
221,1839
222,333
223,2248
224,766
225,580
226,373
227,1796
228,1864
229,1759
230,875
231,653
232,1463
233,1227
234,3696
235,1690
236,2357
237,2906
238,168
239,889
240,1377
241,1843
242,3120
243,1309
244,1955
245,598
246,1885
247,677
248,1154
249,473
250,190
251,1001
252,3861
253,127
254,1269
255,1289
256,1299
257,441
258,1642
259,834
260,536
261,496
262,710
263,632
264,928
265,258
266,3610
267,1407
268,1407
269,104
270,404
271,1490
272,672
273,454
274,2403
275,1565
276,543
277,151
278,509
279,396
280,1260
281,1002
282,744
283,621
284,386
285,1430
286,900
287,572
288,588
289,706
290,4715
291,183
292,1041
293,128
294,322
295,747
296,731
297,1039
298,929
299,273
300,980
301,1525
302,644
303,1235
304,859
305,280
306,1069
307,1258
308,703
309,1642
310,368
311,1120
312,1898
313,666
314,622
315,1301
316,5280
317,829
318,731
319,515
320,468
321,1002
322,1215
323,1943
324,76
325,970
326,591
327,844
328,1141
329,514
330,809
331,2755
332,817
333,1731
334,1105
335,847
336,337
337,581
338,1035
339,214
340,1590
341,1635
342,1790
343,911
344,1061
345,714
346,646
347,553
348,526
349,325
350,1277
351,1166
352,1210
353,200
354,537
355,1635
356,1348
357,2797
358,3220
359,525
360,844
361,190
362,570
363,634
364,411
365,2058
366,286
367,1513
368,1188
369,3046
370,627
371,4771
372,999
373,384
374,941
375,458
376,283
377,560
378,827
379,102
380,569
381,1817
382,812
383,484
384,983
385,624
386,1055
387,168
388,763
389,580
390,1163
391,1210
392,1520
393,1519
394,1
395,1009
396,448
397,1251
398,797
399,2053
400,352
401,1002
402,795
403,480
404,341
405,235
406,1087
407,1251
408,1182
409,1543
410,427
411,941
412,479
413,3812
414,209
415,1357
416,793
417,820
418,685
419,214
420,451
421,1883
422,370
423,1355
424,251
425,1221
426,492
427,859
428,299
429,1404
430,1381
431,1047
432,1139
433,1852
434,3261
435,6066
436,4331
437,515
438,717
439,2283
440,1962
441,378
442,907
443,314
444,319
445,1162
446,6106
447,1447
448,268
449,564
450,819
451,152
452,2609
453,61
454,547
455,391
456,1534
457,412
458,1844
459,892
460,1424
461,1104
462,3598
463,915
464,410
465,523
466,530
467,923
468,395
469,2629
470,2629
471,1497
472,1250
473,3236
474,2408
475,412
476,249
477,920
478,2577
479,592
480,815
481,834
482,516
483,1046
484,531
485,295
486,1349
487,742
488,530
489,415
490,719
491,288
492,465
493,881
494,501
495,982
496,569
497,503
498,3807
499,1300
500,2332
501,2227
502,150
503,3813
504,1376
505,138
506,1272
507,141
508,326
509,1435
510,2334
511,535
512,2264
513,1420
514,817
515,253
516,992
517,2243
518,275
519,3774
520,432
521,331
522,388
523,854
524,1206
525,439
526,1725
527,1129
528,681
529,184
530,967
531,617
532,693
533,994
534,594
535,1357
536,67
537,1035
538,1218
539,602
540,2447
541,605
542,236
543,807
544,776
545,534
546,1371
547,104
548,429
549,358
550,366
551,122
552,685
553,137
554,890
555,537
556,748
557,834
558,459
559,618
560,619
561,117
562,2274
563,3138
564,442
565,1435
566,1300
567,718
568,377
569,3418
570,258
571,3117
572,663
573,793
574,564
575,609
576,784
577,232
578,534
579,3912
580,1031
581,1402
582,91
583,483
584,1590
585,867
586,666
587,1536
588,301
589,659
590,828
591,933
592,343
593,264
594,841
595,340
596,266
597,930
598,508
599,377
600,553
601,383
602,944
603,456
604,292
605,2180
606,119
607,1321
608,393
609,664
610,328
611,1235
612,1326
613,637
614,311
615,1223
616,624
617,645
618,183
619,315
620,1927
621,1684
622,410
623,285
624,240
625,264
626,264
627,579
628,575
629,854
630,973
631,1219
632,867
633,1035
634,383
635,1020
636,330
637,274
638,73
639,702
640,1012
641,474
642,980
643,1851
644,1128
645,1586
646,1706
647,1192
648,745
649,1117
650,385
651,286
652,2711
653,1077
654,445
655,231
656,1464
657,806
658,949
659,328
660,945
661,1544
662,346
663,677
664,277
665,1853
666,1665
667,713
668,880
669,1798
670,1079
671,425
672,385
673,1488
674,578
675,1425
676,2895
677,452
678,721
679,839
680,838
681,662
682,879
683,872
684,949
685,2638
686,419
687,119
688,784
689,2777
690,863
691,1711
692,319
693,799
694,562
695,107
696,230
697,547
698,296
699,390
700,715
701,311
702,1768
703,1455
704,1226
705,811
706,535
707,2263
708,3015
709,2602
710,935
711,605
712,698
713,640
714,958
715,945
716,1085
717,819
718,531
719,586
720,3042
721,1229
722,199
723,1558
724,1850
725,668
726,1333
727,1071
728,1089
729,184
730,1225
731,471
732,898
733,813
734,471
735,1681
736,1117
737,1457
738,1180
739,186
740,817
741,635
742,735
743,1401
744,1981
745,236
746,1121
747,1025
748,770
749,864
750,323
751,134
752,959
753,946
754,647
755,190
756,431
757,377
758,1118
759,950
760,1024
761,575
762,373
763,1146
764,584
765,1680
766,1499
767,1069
768,624
769,2054
770,41
771,356
772,915
773,1293
774,1196
775,515
776,395
777,870
778,778
779,844
780,1342
781,1310
782,637
783,697
784,1662
785,351
786,213
787,1222
788,826
789,42
790,1369
791,653
792,1922
793,378
794,259
795,644
796,1138
797,104
798,3277
799,1158
800,1793
801,331
802,667
803,2401
804,787
805,1991
806,886
807,654
808,192
809,172
810,981
811,311
812,794
813,995
814,698
815,401
816,527
817,1493
818,1554
819,332
820,336
821,417
822,1842
823,606
824,2069
825,3187
826,668
827,590
828,810
829,1686
830,1429
831,690
832,1224
833,429
834,1306
835,280
836,533
837,604
838,534
839,720
840,1003
841,265
842,2147
843,2606
844,342
845,414
846,151
847,3065
848,61
849,1472
850,168
851,1148
852,257
853,1075
854,732
855,1070
856,316
857,3397
858,598
859,1349
860,1050
861,658
862,656
863,867
864,2699
865,964
866,1136
867,485
868,2700
869,533
870,1493
871,237
872,3538
873,603
874,1259
875,505
876,429
877,854
878,3090
879,680
880,477
881,621
882,694
883,220
884,685
885,1265
886,442
887,442
888,2018
889,382
890,1714
891,511
892,1953
893,360
894,2482
895,1126
896,316
897,224
898,1597
899,766
900,1138
901,492
902,513
903,1041
904,1085
905,651
906,390
907,3113
908,835
909,549
910,682
911,1419
912,739
913,455
914,2100
915,727
916,352
917,576
918,1736
919,907
920,922
921,2005
922,783
923,556
924,964
925,1046
926,749
927,5119
928,757
929,1465
930,451
931,1640
932,438
933,750
934,206
935,652
936,254
937,551
938,384
939,779
940,598
941,6976
942,982
943,1766
944,1643
945,4590
946,2733
947,730
948,1209
949,1122
950,2025
951,282
952,348
953,1197
954,338
955,1027
956,1233
957,861
958,1845
959,2264
960,1779
961,625
962,636
963,805
964,702
965,561
966,1183
967,405
968,443
969,911
970,1507
971,376
972,1015
973,1225
974,289
975,319
976,1039
977,452
978,1883
979,1997
980,357
981,980
982,2443
983,1475
984,478
985,1857
986,335
987,627
988,1564
989,11014
990,528
991,500
992,749
993,961
994,1008
995,443
996,1289
997,1234
998,486
999,1302
